Signal (i.e. lead SNP rsid),Gene Symbol,Number of SNPs in 99% credible set,Maximum credible set PPA,Coding Score,Dissimilarity (difference between top two TOA scores),Sum of squared TOA score differences (SSD),Islet TOA score,Muscle TOA score,Adipose TOA score,Liver TOA score,Unclassified TOA score
rs56348580,HNF1A,5,0.47372,0.248355579019037,0.0076,0.09233417,0.4117,0.0458,0.1162,0.4193,0
rs188247550,TM6SF2,1571,0.24158,0.120467683823075,0.0654,0.00610517,0.2216,0.1737,0.1792,0.287,0.1285
rs8107974,TM6SF2,6,0.43379,0.0787665557242456,0.0856,0.00747441,0.2326,0.2282,0.2169,0.3182,0
rs116953931,PTPRS,2100,0.26163,0.0592144693145409,0.0181,0.00969282,0.2813,0.2547,0.2632,0.1583,0.0326
rs4771648,IRS2,28,0.36226,0.0520271448971906,0.0715,0.0147123,0.2698,0.1431,0.3413,0.2345,0.0014
rs1493694,NOTCH2,48,0.090963,0.0391123033300792,0.0378,0.02565398,0.1621,0.1554,0.3554,0.3176,0
rs13737,PTPN9,76,0.18939,0.0349190982225517,0.0268,0.000892290000000001,0.2735,0.2408,0.229,0.2467,0
rs115505614,PAM,8,0.46018,0.0250123708637624,0.00679999999999997,0.0192368,0.2853,0.2725,0.2785,0.1341,0.0214
rs62482405,RELN,1320,0.060202,0.0193992353039586,0.0648,0.00146621,0.1528,0.2137,0.1823,0.1628,0.2785
rs71372253,NF1,96,0.21698,0.018061559711179,0.0151,0.03976494,0.3469,0.1288,0.1491,0.362,0.0032
rs62059712,ATP1B2,2115,0.34209,0.0172978826711934,0.0319,0.00105089,0.2471,0.2152,0.2104,0.2072,0.11
rs2581787,RFT1,43,0.056347,0.0163287339323491,0.0103,0.00018106,0.2499,0.2291,0.2396,0.2375,0.034
rs11926707,KIF9,838,0.067543,0.015478697212597,0.096,0.01015937,0.3318,0.1953,0.2358,0.2234,0.0037
rs3810291,ZC3H4,31,0.2526,0.0118863167211709,0.0293,0.00127277,0.2831,0.2538,0.235,0.2272,0
rs4281707,FTO,73,0.085029,0.0108173792018688,0.0996,0.01040992,0.1747,0.1771,0.2987,0.1991,0.1409
rs6011155,ZBTB46,1618,0.063248,0.0104740745940847,0.0231,0.00477518,0.1856,0.2639,0.287,0.249,0.0045
rs7124681,CELF1,223,0.068148,0.0102287450788611,0.0775,0.00842745,0.2244,0.1838,0.2522,0.3297,0
rs1531583,PCGF3,26,0.13479,0.0098677907051867,0.00540000000000002,0.000183409999999999,0.2606,0.2552,0.2431,0.2403,0
rs12910825,PRC1,25,0.35699,0.0094136325961024,0.0376,0.07356818,0.0097,0.3745,0.3369,0.2698,0
rs1061810,HSD17B12,67,0.03654,0.00936529711039378,0.0702,0.00639614,0.3216,0.2201,0.198,0.2514,0
rs96844,ANKRD55,62,0.18014,0.00864364080926648,0.0304,0.00112666,0.2602,0.2298,0.21,0.2217,0.0684
rs2767036,PDHX,273,0.014837,0.00732524576958721,0.0585,0.00424738,0.3052,0.218,0.2467,0.2168,0.0033
rs4930091,KCNQ1,2086,0.042182,0.00695417382874568,0.0311,0.02698169,0.2151,0.0589,0.2553,0.2864,0.1743
rs12048743,DSTYK,55,0.11544,0.00634973691042424,0.0135,0.0026485,0.2001,0.2373,0.2837,0.2702,0
rs5758223,EP300,138,0.036464,0.00622768349567332,0.0177,0.00041734,0.266,0.2381,0.238,0.2483,0
rs7078559,HHEX-IDE,175,0.03869,0.00566484957339613,0.0932,0.01315348,0.2401,0.3333,0.1459,0.1969,0.074
rs4148856,MPHOSPH9,208,0.074127,0.00510130869004228,0.00940000000000002,0.000837770000000001,0.2679,0.2435,0.2206,0.2585,0
rs6518681,MTMR3-ASCC2,143,0.020823,0.00509984026623297,0.01,0.01796739,0.2819,0.1154,0.1522,0.1491,0.2919
rs474513,SLC22A3,28,0.062842,0.0046004533458056,0.0935,0.05674478,0.0285,0.1938,0.3376,0.4311,0
rs2052261,CEP68,1551,0.061752,0.00429371926249934,0.0343,0.00123674,0.2336,0.2316,0.2679,0.2241,0.0328
rs6459733,MNX1,78,0.046133,0.00416094036693027,0.0699,0.00496523,0.3053,0.2354,0.2264,0.2265,0
rs825452,ZNF664,2288,0.14111,0.00320448341133539,0.00750000000000001,0.00281693,0.2315,0.1842,0.2072,0.143,0.224
rs445084,KCNQ1,2491,0.18434,0.00309607125423261,0.0715,0.0081645,0.3214,0.203,0.2499,0.1738,0.0419
rs187936726,TP53INP1,2329,0.43146,0.00304192247698758,0.0676,0.02256501,0.3428,0.0869,0.1926,0.2752,0.0926
rs59944054,TCEA2,58,0.1462,0.0029075207165301,0.015,0.0263572,0.3382,0.1624,0.1458,0.3232,0.0206
rs10305745,FAM63A,723,0.18286,0.00290544847622216,0.00970000000000001,0.00069626,0.2013,0.2457,0.2189,0.236,0.0881
rs9430095,SRGAP2,24,0.35241,0.00242708151128129,0.0226,0.00461012,0.2179,0.1835,0.2945,0.2719,0.0228
rs6600191,ITFG3,29,0.25131,0.00239898695271154,0.0122,0.00093684,0.2723,0.2601,0.2205,0.2389,0
rs62007683,MARK3,91,0.022783,0.00235675521724623,0.012,0.000421540000000001,0.2534,0.2369,0.2654,0.2346,0
rs11696357,HNF4A,1995,0.2109,0.00227179948707993,0.0179,0.0051897,0.1788,0.295,0.2236,0.2771,0.0156
rs9505097,RREB1,22,0.18403,0.00214527867136949,0.0335,0.00468995,0.273,0.1898,0.3065,0.2241,0
rs3111316,FARSA,39,0.32295,0.00200235101417971,0.0358,0.00276078,0.2857,0.2499,0.2081,0.2464,0
rs116913033,GCK,1573,0.076643,0.00190317707492195,0.0944,0.02057181,0.3747,0.2803,0.1276,0.203,0.0044
rs1377807,ZZEF1,66,0.23959,0.00190124398301223,0.0582,0.00354766,0.2982,0.2301,0.2222,0.24,0
rs10469140,BCL2A,2545,0.14851,0.00142392086685195,0.0569,0.02454963,0.0913,0.1715,0.3084,0.1674,0.2515
rs11065299,HNF1A,895,0.33995,0.0013498774033766,0.0669,0.00777019,0.3167,0.2498,0.1752,0.2285,0.0197
rs7978610,ZNF664,99,0.034972,0.00134374498164754,0.0071,0.00289601,0.2652,0.2048,0.2723,0.2124,0.0354
rs7178762,USP3,109,0.097078,0.00124627902541614,0.0289,0.000878509999999999,0.2439,0.2728,0.2357,0.2376,0
