symbol	Locus.ID	lead.rsid	index.snp	max.ppa.snp	max.ppa	index.snp.coding	islet	muscle	adipose	liver	assigned_00	assigned_20	assigned_50	assigned_80
MACF1	1_1	rs3768321	chr1:40035928	chr1:40035928	0.65702	0	0.2443	0.2259	0.2068	0.3055	shared	shared	unclassified	unclassified
FAF1	2_1	rs58432198	chr1:51256091	chr1:51256091	0.031611	0	0.3821	0.1391	0.2507	0.2108	islet	islet	unclassified	unclassified
PATJ	3_1	rs12140153	chr1:62579891	chr1:62579891	0.99601	1	0.4527	0.2262	0.1469	0.1702	islet	islet	unclassified	unclassified
PTGFRN	5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	0	0.2052	0.3159	0.3267	0.1461	shared	shared	unclassified	unclassified
NOTCH2	6_1	rs1493694	chr1:120526982	chr1:120526982	0.090963	0	0.1621	0.1554	0.3554	0.3176	shared	shared	unclassified	unclassified
FAM63A	7_2	rs10305745	chr1:150786038	chr1:150786038	0.18286	0	0.2013	0.2457	0.2189	0.236	shared	shared	unclassified	unclassified
FAM63A	7_1	rs145904381	chr1:151017991	chr1:151017991	0.83573	0	0.3126	0.2368	0.1826	0.2282	shared	shared	unclassified	unclassified
SEC16B	8_1	rs539515	chr1:177889025	chr1:177889025	0.067087	0	0.5606	0.1001	0.0574	0.1828	islet	islet	islet	unclassified
DSTYK	9_1	rs12048743	chr1:205114873	chr1:205114873	0.11544	0	0.2001	0.2373	0.2837	0.2702	shared	shared	unclassified	unclassified
SRGAP2	10_1	rs9430095	chr1:206593900	chr1:206593900	0.35241	0	0.2179	0.1835	0.2945	0.2719	shared	shared	unclassified	unclassified
PROX1	11_3	rs114526150	chr1:214175531	chr1:214175531	0.044449	0	0.4009	0.1626	0	0.4255	shared	shared	unclassified	unclassified
PROX1	11_2	rs79687284	chr1:214150821	chr1:214150821	0.64371	0	0.7031	0	0	0.2969	islet	islet	islet	unclassified
PROX1	11_1	rs340874	chr1:214159256	chr1:214159256	0.99967	0	0.5048	0	0	0.4948	shared	shared	shared	unclassified
LYPLAL1	12_1	rs2820446	chr1:219748818	chr1:219748818	0.21636	0	0	0	0.4188	0.5628	liver	liver	liver	unclassified
ABCB10	13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	0	0.3451	0.2339	0.2205	0.2005	islet	islet	unclassified	unclassified
GNG4	14_1	rs291367	chr1:235690800	chr1:235690800	0.23981	0	0.7249	0.0619	0.052	0.1516	islet	islet	islet	unclassified
TMEM18	15_1	rs62107261	chr2:422144	chr2:422144	0.62149	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
TMEM18	15_2	rs35913461	chr2:653575	chr2:653575	0.01904	0	0	0	0.0167	0.0034	shared	unclassified	unclassified	unclassified
FAM49A	16_1	rs11680058	chr2:16574669	chr2:16574669	0.99433	0	0.7435	0.2508	0	0	islet	islet	islet	unclassified
DTNB	17_1	rs17802463	chr2:25643221	chr2:25643221	0.071596	0	0.3276	0.2322	0.1726	0.2585	shared	shared	unclassified	unclassified
GCKR	18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	1	0.329	3e-04	0.0043	0.6617	liver	liver	liver	unclassified
THADA	19_2	rs28525376	chr2:43207872	chr2:43207872	0.084049	0	0.4266	0.1896	0.0523	0.3216	islet	islet	unclassified	unclassified
THADA	19_3	rs6708643	chr2:43430440	chr2:43430440	0.23759	0	0.4687	0.0858	0.1001	0.3354	islet	islet	unclassified	unclassified
THADA	19_1	rs80147536	chr2:43698028	chr2:43707385	0.073025	0	0.3108	0.1992	0.229	0.2511	shared	shared	unclassified	unclassified
BNIPL	20_2	rs10193538	chr2:58981064	chr2:58981064	0.10958	0	0.7388	0	0	5e-04	islet	islet	islet	unclassified
BNIPL	20_1	rs6545714	chr2:59307725	chr2:59307725	0.12887	0	0.0671	0	0	0	shared	unclassified	unclassified	unclassified
BCL11A	21_1	rs243024	chr2:60583665	chr2:60583665	0.42194	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
CEP68	22_2	rs2052261	chr2:65355270	chr2:65355270	0.061752	0	0.2336	0.2316	0.2679	0.2241	shared	shared	unclassified	unclassified
CEP68	22_1	rs2249105	chr2:65287896	chr2:65287896	0.38944	0	0.3683	0.1192	0.3525	0.1572	shared	shared	unclassified	unclassified
CEP68	22_3	rs2028150	chr2:65655012	chr2:65655012	0.075542	0	0.3863	0.1555	0.1739	0.283	islet	islet	unclassified	unclassified
GLI2	24_2	rs11688931	chr2:121318166	chr2:121318166	0.086532	0	0.0504	0.2714	0.3121	0.3052	shared	shared	unclassified	unclassified
GLI2	24_3	rs66477705	chr2:121378852	chr2:121440218	0.056845	0	0.1057	0.007	0.6958	0.0052	adipose	adipose	adipose	unclassified
GLI2	24_1	rs11688682	chr2:121347612	chr2:121347612	0.98588	0	0	0.0016	0.7278	0.2609	adipose	adipose	adipose	unclassified
PABPC1P2	25_1	rs35999103	chr2:147861633	chr2:147861633	0.097995	0	0	0.0018	0.0189	0.006	shared	unclassified	unclassified	unclassified
CYTIP	26_1	rs13426680	chr2:158339550	chr2:158339550	0.13409	0	0.4718	0.1518	0.2231	0.1434	islet	islet	unclassified	unclassified
RBMS1	27_1	rs3772071	chr2:161135544	chr2:161135544	0.20879	0	0.2713	0.2714	0.223	0.2245	shared	shared	unclassified	unclassified
GRB14-COBLL1	28_2	rs13024606	chr2:165573194	chr2:165573194	0.5859	0	0.3369	0.1391	0.2613	0.2519	shared	shared	unclassified	unclassified
GRB14-COBLL1	28_1	rs10195252	chr2:165513091	chr2:165528876	0.3646	0	0.3025	0.1206	0.3456	0.2237	shared	shared	unclassified	unclassified
CRYBA2	233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	0	0.6686	0.3084	0.0041	0.0064	islet	islet	islet	unclassified
IRS1	29_1	rs2972144	chr2:227101411	chr2:227101411	0.090102	0	0	0	0.0306	0	shared	unclassified	unclassified	unclassified
PPARG	30_1	rs11709077	chr3:12336507	chr3:12336507	0.48039	0	0.0344	0.0286	0.6358	0.2918	adipose	adipose	adipose	unclassified
PPARG	30_2	rs17819328	chr3:12489342	chr3:12489342	0.26882	0	0	0	1	0	adipose	adipose	adipose	adipose
UBE2E2	31_2	rs17013314	chr3:23510044	chr3:23510044	0.020548	0	0.0312	0.3114	0.4247	0.089	adipose	adipose	unclassified	unclassified
UBE2E2	31_1	rs35352848	chr3:23455582	chr3:23455582	0.30426	0	0	0.5744	0.4256	0	muscle	muscle	muscle	unclassified
KIF9	32_1	rs11926707	chr3:46925539	chr3:46925539	0.067543	0	0.3318	0.1953	0.2358	0.2234	shared	shared	unclassified	unclassified
KIF9	32_2	rs75423501	chr3:47242923	chr3:47242923	0.34032	0	0.5093	0.1552	0.1373	0.1618	islet	islet	islet	unclassified
RBM6	33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	0	0.2334	0.3228	0.2294	0.201	shared	shared	unclassified	unclassified
RFT1	34_1	rs2581787	chr3:53127677	chr3:53127677	0.056347	0	0.2499	0.2291	0.2396	0.2375	shared	shared	unclassified	unclassified
CACNA2D3	35_1	rs76263492	chr3:54828827	chr3:54828827	0.86082	0	0	0.0134	0	0	shared	unclassified	unclassified	unclassified
PSMD6	36_1	rs3774723	chr3:63962339	chr3:63962339	0.2794	0	0.2843	0.2436	0.2318	0.2312	shared	shared	unclassified	unclassified
PSMD6	36_2	rs74368513	chr3:64460694	chr3:64460694	0.64822	0	0.0341	0.0247	0.8258	0.0164	adipose	adipose	adipose	adipose
ADAMTS9	37_1	rs9860730	chr3:64701146	chr3:64701146	0.13611	0	0	0.4076	0.581	0	adipose	adipose	adipose	unclassified
SHQ1	38_1	rs13085136	chr3:72865183	chr3:72865183	0.7107	0	0.4069	0.1748	0.1809	0.2274	islet	islet	unclassified	unclassified
ROBO2	39_1	rs2272163	chr3:77671721	chr3:77671721	0.62659	0	0.9801	0	0	3e-04	islet	islet	islet	islet
ADCY5	40_1	rs11708067	chr3:123065778	chr3:123065778	0.78853	0	0.2956	0.2108	0.2743	0.2107	shared	shared	unclassified	unclassified
SLC12A8	41_1	rs649961	chr3:124926637	chr3:124926637	0.2037	0	0.7866	0	0	0.2039	islet	islet	islet	unclassified
TMCC1	42_1	rs9828772	chr3:129333182	chr3:129333182	0.20056	0	0.3853	0.1875	0.249	0.1673	islet	islet	unclassified	unclassified
TSC22D2	43_1	rs62271373	chr3:150066540	chr3:150066540	0.94777	0	0.011	0.3453	0.4577	0.1766	adipose	adipose	unclassified	unclassified
MBNL1	44_1	rs13065698	chr3:152086533	chr3:152086533	0.23697	0	0.3464	0.2063	0.236	0.2031	islet	islet	unclassified	unclassified
MBNL1	44_3	rs35497231	chr3:152433628	chr3:152433628	0.075633	0	0.341	0	0.0276	0.0154	islet	islet	unclassified	unclassified
MBNL1	44_2	rs74653713	chr3:152417881	chr3:152423258	0.089859	0	0.0956	0	0.0142	0	shared	unclassified	unclassified	unclassified
EGFEM1P	45_1	rs7629630	chr3:168218841	chr3:168218841	0.070033	0	0.8035	0	0.1499	0.0389	islet	islet	islet	islet
SLC2A2	46_1	rs9873618	chr3:170733076	chr3:170733076	0.29151	0	0.3889	0	0.0084	0.5432	liver	liver	liver	unclassified
ABCC5	47_1	rs2872246	chr3:183738460	chr3:183738460	0.188	0	0.153	0.152	0.1149	0.1486	shared	unclassified	unclassified	unclassified
IGF2BP2	48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	0	0.9529	0.0106	0.0114	0.0094	islet	islet	islet	islet
IGF2BP2	48_3	rs11717959	chr3:185541213	chr3:185653097	0.26389	0	0.1533	0.0925	0.1417	0.1181	shared	unclassified	unclassified	unclassified
IGF2BP2	48_4	rs1516728	chr3:185829891	chr3:185653097	0.24839	0	0.2614	0.13	0.1946	0.1185	shared	shared	unclassified	unclassified
IGF2BP2	48_1	rs6780171	chr3:185503456	chr3:185503456	0.074124	0	0.2425	0	0.0241	0	islet	islet	unclassified	unclassified
ST6GAL1	49_1	rs3887925	chr3:186665645	chr3:186665645	0.98541	0	0.2127	0.1174	0.3459	0.3158	shared	shared	unclassified	unclassified
ST6GAL1	49_2	rs7645517	chr3:186675277	chr3:186675277	0.28552	0	0.3037	0.2423	0.2239	0.2204	shared	shared	unclassified	unclassified
