Locus.ID	lead.rsid	IndexSNP	max.ppa.snp	max.ppa	Tissue	gene_name	gwas_z	eqtl_z	CLPP
3_1	rs12140153	chr1:62579891	chr1:62579891	0.99601	Islet	DOCK7	-5.74107142857143	-1.70138828319212	0.0131896
3_1	rs12140153	chr1:62579891	chr1:62579891	0.99601	Islet	ATG4C	-5.74107142857143	1.82092538388509	0.0157359
3_1	rs12140153	chr1:62579891	chr1:62579891	0.99601	Islet	L1TD1	-5.74107142857143	2.31938629663938	0.0370379
5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	Islet	PTGFRN	-7.375	-2.17632054964997	0.0263963
5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	Islet	CD101	-7.375	-2.60298610178192	0.0564534
5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	Brain_Cerebellum	PTGFRN	-7.375	4.64010833648216	0.273599
5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	Esophagus_Mucosa	PTGFRN	-7.375	4.46149020891289	0.300339
5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	Esophagus_Mucosa	CD101	-7.375	-5.10856486490312	0.0601797
5_1	rs1127215	chr1:117532790	chr1:117532790	0.97212	Skin_Not_Sun_Exposed_Suprapubic	CD101	-7.375	-5.58884438319653	0.0374246
7_1	rs145904381	chr1:151017991	chr1:151017991	0.83573	Brain_Caudate_basal_ganglia	PLEKHO1	5.56730769230769	4.29987574792511	0.909961
7_1	rs145904381	chr1:151017991	chr1:151017991	0.83573	Breast_Mammary_Tissue	RP11-54A4.2	5.56730769230769	-4.2929244435253	0.907868
11_1	rs340874	chr1:214159256	chr1:214159256	0.99967	Brain_Cerebellar_Hemisphere	PROX1-AS1	-9.76121794871795	4.76287302582044	0.983752
11_1	rs340874	chr1:214159256	chr1:214159256	0.99967	Brain_Cerebellum	PROX1-AS1	-9.76121794871795	4.87401116482748	0.989636
11_1	rs340874	chr1:214159256	chr1:214159256	0.99967	Brain_Putamen_basal_ganglia	PROX1-AS1	-9.76121794871795	4.62718035439643	0.972385
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Islet	URB2	-7.61194029850746	-1.70093390025296	0.0131838
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Islet	RNF187	-7.61194029850746	-1.61154494190921	0.0116418
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Adipose_Subcutaneous	HMGN2P19	-7.61194029850746	-5.41302480048907	0.999011
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Adipose_Visceral_Omentum	HMGN2P19	-7.61194029850746	-6.84764680864306	0.999999
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Artery_Aorta	HMGN2P19	-7.61194029850746	-8.31022973488237	1
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Artery_Coronary	HMGN2P19	-7.61194029850746	-5.41676071291234	0.999028
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Artery_Tibial	CCSAP	-7.61194029850746	4.48470901377991	0.952988
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Artery_Tibial	HMGN2P19	-7.61194029850746	-9.77562816602087	1
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Breast_Mammary_Tissue	HMGN2P19	-7.61194029850746	-5.15189201507387	0.996809
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Colon_Transverse	HMGN2P19	-7.61194029850746	-4.66218057379051	0.975866
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Esophagus_Gastroesophageal_Junction	HMGN2P19	-7.61194029850746	-5.00897299161456	0.994097
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Esophagus_Mucosa	HMGN2P19	-7.61194029850746	-4.24527200436447	0.892836
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Esophagus_Muscularis	HMGN2P19	-7.61194029850746	-7.29312570870429	1
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Heart_Atrial_Appendage	HMGN2P19	-7.61194029850746	-6.16079946986087	0.999975
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Heart_Left_Ventricle	HMGN2P19	-7.61194029850746	-4.90202074566983	0.990765
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Lung	HMGN2P19	-7.61194029850746	-6.36645639911808	0.999992
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Muscle_Skeletal	HMGN2P19	-7.61194029850746	-5.5033729705008	0.99935
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Nerve_Tibial	HMGN2P19	-7.61194029850746	-5.14805035145243	0.996755
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Testis	RP4-613A2.1	-7.61194029850746	-6.79752555569958	0.999999
