symbol	Locus.ID	lead.rsid	IndexSNP	maxppa.snp	coding	max.ppa	islet	muscle	adipose	liver	assigned_20	egenes	eqtl_pval	CLPP
THADA	19_1	rs80147536	chr2:43698028	chr2:43707385	0	0.073	0.311	0.199	0.229	0.251	shared	AC010883.5	2.5e-05	0.0887
CEP68	22_2	rs2052261	chr2:65355270	chr2:65355270	0	0.0618	0.234	0.232	0.268	0.224	shared	CEP68 (Adipose),CEP68 (Islet)	7.2e-16,4.39e-07	0.0176,0.0276
CEP68	22_1	rs2249105	chr2:65287896	chr2:65287896	0	0.389	0.368	0.119	0.352	0.157	shared	CEP68 (Adipose),CEP68 (Islet)	1.86e-22,5.51e-09	0.232,0.149
RFT1	34_1	rs2581787	chr3:53127677	chr3:53127677	0	0.0563	0.25	0.229	0.24	0.237	shared	RFT1 (Adipose),SERBP1P3 (Adipose),SFMBT1 (Adipose),SERBP1P3 (Liver),ITIH4 (Muscle)	8.76e-28,3.13e-20,1.44e-09,2.26e-07,1.27e-05	0.0112,0.0258,0.0202,0.0115,0.0123
ADCY5	40_1	rs11708067	chr3:123065778	chr3:123065778	0	0.789	0.296	0.211	0.274	0.211	shared	ADCY5	3.34e-12	0.591
EGFEM1P	45_1	rs7629630	chr3:168218841	chr3:168218841	0	0.07	0.803	0	0.15	0.0389	islet	EGFEM1P	2.72e-05	0.0163
IGF2BP2	48_2	rs150111048	chr3:185514421	chr3:185514421	0	0.941	0.953	0.0106	0.0114	0.0094	islet	IGF2BP2	1.63e-05	0.0312
SLC22A3	89_1	rs474513	chr6:160770312	chr6:160770312	0	0.0628	0.0285	0.194	0.338	0.431	shared	SLC22A3	9.09e-07	0.015
FBXL13	96_1	rs11496066	chr7:102486254	chr7:102486254	0	0.088	0.359	0.17	0.249	0.192	islet	POLR2J3	3.68e-06	0.0172
BOP1	113_1	rs4977213	chr8:145507304	chr8:145507304	0	0.157	0.107	0.328	0.279	0.277	shared	CPSF1 (Adipose),CPSF1 (Muscle)	7.15e-06,7.48e-06	0.31,0.389
UBAP2	119_1	rs12001437	chr9:34074476	chr9:34074476	0	0.917	0.342	0.248	0.155	0.235	shared	NUDT2,UBAP2	2.14e-05,4.76e-05	0.91,0.837
CDC123-CAMK1D	126_1	rs11257655	chr10:12307894	chr10:12307894	0	1	0.395	0.133	0.173	0.298	shared	CAMK1D	1.74e-06	0.996
ZMIZ1	128_2	rs1317617	chr10:81096589	chr10:81096589	0	0.138	0.293	0.205	0.164	0.32	shared	PPIF	1.66e-12	0.0112
